,year,county,dgCount,povPcnt,realMedInc,lfpr,lf_size
0,1999,Accomack County,0.0,16.1,42200.44,0.93595074436044,14765.0
1,2000,Accomack County,0.0,17.1,43587.85,0.9698260121726644,18126.0
2,2001,Accomack County,0.0,16.3,41107.37,0.965979177165454,18347.0
3,2002,Accomack County,0.0,17.7,40451.25,0.9579839526810444,19016.0
4,2003,Accomack County,0.0,15.6,41144.7,0.9559716660312222,19225.0
5,2004,Accomack County,0.0,14.9,41652.14,0.9525315388503662,19062.0
6,2005,Accomack County,0.0,18.3,42325.28,0.9527676291918392,18785.0
7,2006,Accomack County,0.0,15.4,46487.18,0.9570205677361816,18569.0
8,2007,Accomack County,0.0,16.8,44453.7,0.9587765275654854,18779.0
9,2008,Accomack County,0.0,20.6,43917.7,0.9499656145812176,18990.0
10,2009,Accomack County,0.0,18.3,42836.73,0.9349491548074172,19704.0
11,2010,Accomack County,0.0,20.5,43064.85,0.9208569656468532,16804.0
12,2011,Accomack County,0.0,19.3,42198.6,0.9159762149794718,16590.0
13,2012,Accomack County,0.0,19.9,40493.92,0.9211782006651396,16418.0
14,2013,Accomack County,0.0,19.3,41098.01,0.92774142320689,16229.0
15,2014,Accomack County,1.0,19.4,40759.75,0.9329170658043272,16051.0
16,2015,Accomack County,0.0,20.4,41007.63,0.9452638647164718,15877.0
17,2016,Accomack County,0.0,20.0,40851.7,0.9504632156268388,15783.0
18,2017,Accomack County,0.0,17.8,45111.5,0.9546081015490876,16628.0
19,2018,Accomack County,1.0,17.3,42879.0,0.9611500659727404,16747.0
20,1999,Alexandria city,0.0,7.9,82388.6,0.9778021765017549,74455.0
21,2000,Alexandria city,0.0,7.5,84254.16,0.982082298987378,80943.0
22,2001,Alexandria city,0.0,7.2,82944.11,0.9728752721219056,81630.0
23,2002,Alexandria city,0.0,7.8,82824.28,0.9655514044568284,83146.0
24,2003,Alexandria city,0.0,8.8,81219.14,0.9699762012537398,82495.0
25,2004,Alexandria city,0.0,8.3,80909.57,0.9724608996053676,83784.0
26,2005,Alexandria city,0.0,7.7,83458.28,0.9738907495981414,84746.0
27,2006,Alexandria city,0.0,7.2,97793.5,0.9776398252237676,86832.0
28,2007,Alexandria city,0.0,8.3,95627.17,0.9777355715476852,89476.0
29,2008,Alexandria city,0.0,8.0,96439.12,0.9724313645265348,93221.0
30,2009,Alexandria city,0.0,9.1,89508.73,0.9519879078323372,94424.0
31,2010,Alexandria city,0.0,9.3,90052.76,0.95076052692506,90361.0
32,2011,Alexandria city,0.0,8.1,91829.0,0.9553734902613756,92504.0
33,2012,Alexandria city,0.0,8.6,88688.45,0.9591009254883622,93257.0
34,2013,Alexandria city,0.0,8.8,92381.98,0.9594992947066012,93676.0
35,2014,Alexandria city,0.0,9.6,91753.51,0.9615085570466371,93474.0
36,2015,Alexandria city,0.0,9.1,94518.93,0.9670946658340877,94147.0
37,2016,Alexandria city,0.0,10.5,91897.5,0.9706398606577256,96248.0
38,2017,Alexandria city,1.0,10.1,102395.67,0.9715385584875742,99307.0
39,2018,Alexandria city,0.0,10.1,99425.0,0.9769669124001,99978.0
